,Unnamed: 0,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러),소비자물가총지수,인플레이션 반영가,직전 1달 수출(달러),직전 1달 수입(달러),직전 1달 평균기온(°C),직전 1달 평균 상대습도(%),직전 1달 합계 일사량(MJ/m2),직전 1달 평균 풍속(m/s),직전 1달 최대 풍속(m/s),직전 1달 최고기온(°C),직전 1달 최저기온(°C),직전 1달 평균 지면온도(°C),직전 2달 수출(달러),직전 2달 수입(달러),직전 2달 평균기온(°C),직전 2달 평균 상대습도(%),직전 2달 합계 일사량(MJ/m2),직전 2달 평균 풍속(m/s),직전 2달 최대 풍속(m/s),직전 2달 최고기온(°C),직전 2달 최저기온(°C),직전 2달 평균 지면온도(°C),직전 3달 수출(달러),직전 3달 수입(달러),직전 3달 평균기온(°C),직전 3달 평균 상대습도(%),직전 3달 합계 일사량(MJ/m2),직전 3달 평균 풍속(m/s),직전 3달 최대 풍속(m/s),직전 3달 최고기온(°C),직전 3달 최저기온(°C),직전 3달 평균 지면온도(°C),직전 4달 수출(달러),직전 4달 수입(달러),직전 4달 평균기온(°C),직전 4달 평균 상대습도(%),직전 4달 합계 일사량(MJ/m2),직전 4달 평균 풍속(m/s),직전 4달 최대 풍속(m/s),직전 4달 최고기온(°C),직전 4달 최저기온(°C),직전 4달 평균 지면온도(°C),직전 5달 수출(달러),직전 5달 수입(달러),직전 5달 평균기온(°C),직전 5달 평균 상대습도(%),직전 5달 합계 일사량(MJ/m2),직전 5달 평균 풍속(m/s),직전 5달 최대 풍속(m/s),직전 5달 최고기온(°C),직전 5달 최저기온(°C),직전 5달 평균 지면온도(°C),직전 6달 수출(달러),직전 6달 수입(달러),직전 6달 평균기온(°C),직전 6달 평균 상대습도(%),직전 6달 합계 일사량(MJ/m2),직전 6달 평균 풍속(m/s),직전 6달 최대 풍속(m/s),직전 6달 최고기온(°C),직전 6달 최저기온(°C),직전 6달 평균 지면온도(°C),가격
160,160,2000-12-15,무,890,6.464,-0.0279999999999999,12.12,46.10666666666667,67.21733333333333,6.870666666666666,2.7093333333333334,7.380454545454546,5.096,4.97948717948718,2000,12,15,1645.0,1041,0.0,0,63.2,14.082278481012658,776.9666666666667,2829.866666666667,4.625103448275862,63.28873563218392,237.33318181818183,2.072229885057471,8.221333333333334,16.213333333333335,-8.628,4.96763925729443,1765.1333333333332,7276.133333333333,11.100666666666664,66.39875555555555,289.50454545454545,1.8302666666666672,7.284,21.46933333333333,-0.0533333333333332,12.342393162393163,1387.5,4500.0,16.0984,70.10124444444445,192.1290909090909,1.7748444444444444,7.168,25.898666666666667,0.0,18.47384615384616,4297.066666666667,0.0,24.815238095238094,79.2709523809524,174.30136363636365,1.9836190476190476,6.82,31.512,0.0,26.872822299651567,24365.800000000003,58.8,25.683353216374265,76.7487269005848,498.34590909090906,1.8866771929824564,8.026666666666667,32.7,0.0,29.18093348819203,22379.73333333333,550.8000000000001,23.90827586206896,76.97452873563219,456.48757575757566,1.89232183908046,7.828,31.98133333333333,0.0,27.25250574712644,1
161,161,2000-12-16,무,890,3.486666666666667,-1.436,9.193333333333332,23.426666666666662,48.092,6.521333333333334,2.7053333333333334,9.040909090909093,6.542666666666666,3.5230769230769234,2000,12,16,1645.0,1041,0.0,0,63.2,14.082278481012658,791.3,2653.0,4.523908045977011,63.20381609195404,240.49318181818185,2.095908045977011,8.221333333333334,16.213333333333335,-8.628,4.800618921308577,1693.0,7153.0,11.032177777777775,66.6968,278.3577272727273,1.8435555555555565,7.284,21.46933333333333,-0.0533333333333332,12.183931623931626,1480.0,4800.0,15.808083333333334,69.51608333333333,207.49636363636364,1.7654166666666666,7.168,25.898666666666667,0.0,18.230288461538464,3990.1333333333337,0.0,24.702769230769228,79.268,160.78272727272724,2.0155897435897434,6.82,31.512,0.0,26.702439024390245,23283.1,54.6,25.65841988304093,76.86739356725144,493.3686363636363,1.877432748538012,8.026666666666667,32.7,0.0,29.12270476190476,23758.166666666668,517.8000000000001,24.064413793103448,77.19954022988506,452.7075757575757,1.8976551724137936,7.828,31.98133333333333,0.0,27.339034482758624,1
162,162,2000-12-17,무,890,1.153333333333333,-3.526666666666667,8.433333333333334,26.30666666666667,53.876,3.525333333333333,1.5253333333333334,7.343181818181819,4.113333333333333,1.7897435897435896,2000,12,17,1645.0,1041,0.0,0,63.2,14.082278481012658,805.6333333333333,2476.133333333333,4.356275862068966,62.0544827586207,247.9963636363637,2.08864367816092,8.221333333333334,16.213333333333335,-8.628,4.6337754199823165,1620.8666666666668,7029.866666666667,10.92071111111111,67.13151111111111,275.53000000000003,1.8870222222222224,7.284,21.46933333333333,-0.0533333333333332,12.032307692307697,1572.5,5100.0,15.565960784313726,69.44933333333333,211.8618181818182,1.756392156862745,7.168,25.898666666666667,0.0,17.917345399698345,3683.2,0.0,24.587888888888887,79.40399999999998,147.2959090909091,2.0425555555555555,6.82,31.512,0.0,26.48861788617886,22200.4,50.400000000000006,25.64330877192982,76.77437134502922,493.40318181818185,1.8697883040935677,8.026666666666667,32.7,0.0,29.119070073557875,25136.6,484.8,24.161425287356323,77.63016091954023,443.02893939393937,1.9033103448275863,7.828,31.98133333333333,0.0,27.33829885057471,1
163,163,2000-12-18,무,890,3.136,-2.4853333333333336,7.84,46.53333333333333,72.50133333333333,4.173333333333333,1.444,3.0431818181818184,0.852,2.5666666666666664,2000,12,18,1645.0,1041,0.0,0,63.2,14.082278481012658,819.9666666666667,2299.266666666667,4.150206896551724,61.42685057471265,249.68545454545452,2.0434022988505745,8.221333333333334,16.213333333333335,-8.628,4.424049513704686,1548.7333333333331,6906.733333333334,10.715111111111108,67.22782222222222,269.60545454545456,1.9101333333333332,7.284,21.46933333333333,-0.0533333333333332,11.794358974358977,1665.0,5400.0,15.439925925925923,69.43481481481481,223.44045454545451,1.7779259259259257,7.168,25.898666666666667,0.0,17.75584045584046,3376.2666666666664,0.0,24.56509090909091,79.30460606060605,137.08999999999995,2.09539393939394,6.82,31.512,0.0,26.406430155210646,21117.7,46.2,25.5598865497076,76.92877134502922,486.2368181818182,1.8479660818713453,8.026666666666667,32.7,0.0,29.01469283778552,26515.033333333333,451.8,24.284,77.86179310344828,444.4625757575757,1.9209655172413795,7.828,31.98133333333333,0.0,27.43287356321839,1
164,164,2000-12-19,무,880,4.274666666666667,0.6093333333333334,8.218666666666666,40.78666666666667,65.22266666666667,7.1466666666666665,2.7466666666666666,6.682272727272727,3.566666666666667,3.907692307692308,2000,12,19,1645.0,1041,0.0,0,63.2,13.924050632911392,834.3,2122.4,4.105655172413794,61.96257471264369,241.0754545454546,2.018068965517241,8.221333333333334,16.213333333333335,-8.628,4.337577365163572,1476.6,6783.6,10.428844444444444,66.83564444444444,269.2113636363636,1.9239555555555556,7.284,21.46933333333333,-0.0733333333333333,11.46034188034188,1757.5,5700.0,15.312350877192982,69.3977543859649,235.48772727272728,1.7771929824561403,7.168,25.898666666666667,0.0,17.615789473684213,3069.333333333333,0.0,24.69773333333333,78.60159999999999,132.5731818181818,2.1098666666666666,6.82,31.512,0.0,26.586585365853654,20035.0,42.0,25.408330994152045,77.39277134502922,472.6731818181818,1.8072105263157896,8.026666666666667,32.7,0.0,28.80787766163376,27893.466666666664,418.8,24.42110344827586,77.97149425287357,442.0880303030302,1.9676321839080464,7.828,31.98133333333333,0.0,27.47535632183908,1
165,165,2000-12-20,무,840,2.3640000000000003,-0.652,5.833333333333333,54.84,73.24266666666666,6.030666666666667,2.1146666666666665,2.47,0.1413333333333333,2.448717948717949,2000,12,20,1645.0,1041,0.0,0,63.2,13.291139240506327,848.6333333333333,1945.5333333333333,4.023816091954024,61.91705747126437,239.13318181818187,2.046252873563218,8.221333333333334,16.213333333333335,-8.628,4.249690539345711,1404.4666666666665,6660.466666666666,10.177822222222222,66.71026666666667,267.9418181818182,1.9406222222222225,7.284,21.46933333333333,-0.46,11.146752136752138,1850.0,6000.0,15.255666666666666,69.44306666666667,245.3818181818182,1.7597999999999998,7.168,25.898666666666667,0.0,17.52820512820513,2762.4,0.0,24.787407407407404,79.22311111111111,116.05636363636364,2.030814814814815,6.682666666666666,31.512,0.0,26.707046070460702,18952.3,37.8,25.308553216374268,77.29837134502922,477.7249999999999,1.7774771929824564,7.294666666666667,32.7,0.0,28.690492295780107,29271.9,385.8,24.63466666666667,77.61296551724139,447.6743939393939,2.0331954022988508,8.026666666666667,31.98133333333333,0.0,27.69829885057471,1
166,166,2000-12-21,무,840,1.78,-2.797333333333333,7.057333333333332,27.89333333333333,55.90533333333333,5.6946666666666665,2.2466666666666666,9.757272727272728,7.723999999999999,1.907692307692308,2000,12,21,1645.0,1041,0.0,0,63.2,13.291139240506327,862.9666666666666,1768.6666666666663,3.852505747126437,61.7728735632184,239.54954545454547,2.004229885057471,7.853333333333333,16.213333333333335,-8.628,4.074624226348364,1332.3333333333333,6537.333333333333,9.960266666666664,67.23284444444444,257.31545454545454,1.9962666666666669,8.221333333333334,21.46933333333333,-0.46,10.8657264957265,1942.5,6300.0,15.189142857142858,69.07657142857143,258.0618181818182,1.7552380952380953,7.168,25.898666666666667,0.0,17.453357753357757,2455.4666666666667,0.0,24.820500000000003,80.27733333333333,96.87954545454544,1.9996666666666667,6.682666666666666,31.512,0.0,26.66890243902439,17869.6,33.6,25.3458865497076,76.91659356725145,487.01499999999993,1.75121052631579,6.82,32.7,0.0,28.75769879984514,30650.33333333333,352.79999999999995,24.70947126436782,77.5560459770115,448.9439393939393,2.081701149425288,8.026666666666667,31.98133333333333,0.0,27.75443678160919,1
167,167,2000-12-22,무,820,2.953333333333333,-3.569333333333333,9.918666666666669,32.36,61.02133333333334,5.265333333333333,1.9626666666666663,8.694545454545455,6.458666666666667,2.58974358974359,2000,12,22,1645.0,1041,0.0,0,63.2,12.974683544303796,877.3,1591.8,3.833563218390804,61.93747126436781,239.47863636363635,1.956413793103448,7.853333333333333,16.213333333333335,-8.628,4.027851458885942,1260.2,6414.2,9.576355555555557,66.82115555555556,260.0254545454545,2.0503555555555555,8.221333333333334,21.46933333333333,-2.041333333333333,10.48794871794872,2035.0,6599.999999999999,15.128121212121217,68.82230303030303,265.18,1.766848484848485,7.168,25.898666666666667,0.0,17.323543123543125,2148.5333333333333,0.0,24.86533333333333,81.37333333333333,76.68590909090909,2.069714285714286,6.682666666666666,31.512,0.0,26.472822299651565,16786.9,29.4,25.3470865497076,76.71828245614033,488.155,1.7399216374269004,6.82,32.7,0.0,28.780947580332946,32028.76666666667,319.8,24.8176551724138,77.36137931034483,459.2521212121212,2.089885057471265,8.026666666666667,31.98133333333333,0.0,27.885747126436776,1
168,168,2000-12-24,무,820,1.149333333333333,-2.518666666666667,5.58,36.14666666666667,60.013333333333335,5.389333333333333,1.868,7.523636363636364,4.510666666666666,1.3794871794871797,2000,12,24,1645.0,1041,0.0,0,63.2,12.974683544303796,871.2666666666667,1238.0666666666666,3.8476666666666666,61.832047619047614,225.52681818181816,1.992190476190476,7.853333333333333,16.213333333333335,-8.628,3.981043956043956,1115.9333333333334,6167.933333333333,8.707288888888888,65.61857777777779,269.25318181818176,2.032533333333333,8.221333333333334,21.069333333333333,-4.457333333333334,9.620769230769232,2220.0,7200.0,15.220111111111114,69.83661111111111,278.5986363636364,1.7634444444444444,7.168,25.898666666666667,0.0,17.294230769230772,1534.6666666666663,0.0,25.474933333333333,79.49066666666667,66.2609090909091,2.1464,6.682666666666666,31.512,0.0,27.126341463414636,14621.5,21.0,25.26410877192982,77.33237134502923,462.10590909090905,1.7714771929824562,6.82,32.7,0.0,28.55794920634921,34785.63333333334,253.8,24.98395402298851,76.82404597701151,478.1248484848485,2.079632183908046,8.026666666666667,31.98133333333333,0.0,28.16675862068965,1
169,169,2000-12-26,무,820,-4.918666666666667,-8.496,-0.4933333333333333,33.88,53.224,6.36,2.9573333333333336,9.42090909090909,7.410666666666666,-1.523076923076923,2000,12,26,1645.0,1041,0.0,0,63.2,12.974683544303796,865.2333333333333,884.3333333333333,3.497135802469136,61.09693827160493,214.48,2.040543209876543,7.853333333333333,14.76,-8.628,3.6270655270655263,971.6666666666669,5921.666666666667,8.263466666666666,66.02231111111111,264.415,1.9515111111111108,8.221333333333334,20.796,-4.457333333333334,9.11068376068376,2405.0,7800.0,15.117641025641028,69.44846153846154,302.0072727272727,1.819538461538461,7.168,25.898666666666667,0.0,17.12623274161736,920.8,0.0,26.34933333333333,75.23866666666667,53.08045454545454,2.0191111111111115,5.921333333333334,31.512,0.0,28.58617886178861,12456.100000000002,12.6,25.15455321637426,78.1516157894737,439.3263636363636,1.821832748538012,6.82,32.7,0.0,28.24038823073946,37542.5,187.8,25.22763218390805,76.22772413793103,487.4567532467533,2.0492873563218392,8.026666666666667,31.98133333333333,0.0,28.532275862068968,1
