,Unnamed: 0,Unnamed: 0.1,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러),소비자물가총지수,인플레이션 반영가,직전 1달 수출(달러),직전 1달 수입(달러),직전 1달 평균기온(°C),직전 1달 평균 상대습도(%),직전 1달 합계 일사량(MJ/m2),직전 1달 평균 풍속(m/s),직전 1달 최대 풍속(m/s),직전 1달 최고기온(°C),직전 1달 최저기온(°C),직전 1달 평균 지면온도(°C),직전 2달 수출(달러),직전 2달 수입(달러),직전 2달 평균기온(°C),직전 2달 평균 상대습도(%),직전 2달 합계 일사량(MJ/m2),직전 2달 평균 풍속(m/s),직전 2달 최대 풍속(m/s),직전 2달 최고기온(°C),직전 2달 최저기온(°C),직전 2달 평균 지면온도(°C),직전 3달 수출(달러),직전 3달 수입(달러),직전 3달 평균기온(°C),직전 3달 평균 상대습도(%),직전 3달 합계 일사량(MJ/m2),직전 3달 평균 풍속(m/s),직전 3달 최대 풍속(m/s),직전 3달 최고기온(°C),직전 3달 최저기온(°C),직전 3달 평균 지면온도(°C),직전 4달 수출(달러),직전 4달 수입(달러),직전 4달 평균기온(°C),직전 4달 평균 상대습도(%),직전 4달 합계 일사량(MJ/m2),직전 4달 평균 풍속(m/s),직전 4달 최대 풍속(m/s),직전 4달 최고기온(°C),직전 4달 최저기온(°C),직전 4달 평균 지면온도(°C),직전 5달 수출(달러),직전 5달 수입(달러),직전 5달 평균기온(°C),직전 5달 평균 상대습도(%),직전 5달 합계 일사량(MJ/m2),직전 5달 평균 풍속(m/s),직전 5달 최대 풍속(m/s),직전 5달 최고기온(°C),직전 5달 최저기온(°C),직전 5달 평균 지면온도(°C),직전 6달 수출(달러),직전 6달 수입(달러),직전 6달 평균기온(°C),직전 6달 평균 상대습도(%),직전 6달 합계 일사량(MJ/m2),직전 6달 평균 풍속(m/s),직전 6달 최대 풍속(m/s),직전 6달 최고기온(°C),직전 6달 최저기온(°C),직전 6달 평균 지면온도(°C),직전 2달 인플레이션 반영가,직전 3달 인플레이션 반영가,직전 4달 인플레이션 반영가,직전 5달 인플레이션 반영가,직전 6달 인플레이션 반영가,가격
206,206,206,2000-12-26,건고추,5720,-4.918666666666667,-8.496,-0.4933333333333333,33.88,53.224,6.36,2.9573333333333336,9.42090909090909,7.410666666666666,-1.523076923076923,2000,12,26,0,0,2173915,3284495,63.2,90.50632911392404,0.0,2518112.833333333,3.232463768115942,61.05124637681158,180.79863636363635,2.116173913043478,8.428,14.76,-8.628,3.3085841694537343,351.16666666666663,100741.0,10.962133333333336,67.60693333333333,44.70772727272728,1.5490666666666666,4.402666666666667,19.42533333333333,0.0,12.07897435897436,1826.0666666666668,560583.7333333334,15.454533333333334,69.53275555555555,350.6168181818182,1.7867111111111114,7.168,25.898666666666667,0.0,17.51363247863248,702.7,231586.1666666667,20.440666666666665,75.79564102564103,334.8386363636364,2.0549230769230773,7.702666666666667,31.512,0.0,22.57815196998124,6373.5,217638.9,25.15455321637426,78.1516157894737,439.3263636363636,1.821832748538012,6.82,32.7,0.0,28.24038823073946,442.8,438732.9,25.22763218390805,76.22772413793103,487.4567532467533,2.0492873563218392,8.026666666666667,31.98133333333333,0.0,28.532275862068968,90.50632911392404,90.50632911392404,81.06134371957157,78.93459915611814,81.08904408555219,1
207,207,207,2000-12-27,건고추,5720,-2.472,-8.397333333333332,3.285333333333333,30.73333333333333,56.022666666666666,3.549333333333333,1.401333333333333,8.136363636363637,5.524,-0.5871794871794871,2000,12,27,0,0,2173915,3284495,63.2,90.50632911392404,0.0,2627596.0,2.8928333333333334,60.72511111111109,190.2195454545454,2.151222222222222,8.428,14.76,-8.628,3.1072649572649573,280.93333333333334,80592.8,10.715,67.99266666666668,31.47227272727273,1.4883333333333333,4.402666666666667,17.278666666666666,0.0,11.78076923076923,1896.3,571549.3,15.27324444444445,69.61662222222223,346.1254545454546,1.7914222222222227,7.168,25.898666666666667,0.0,17.259775641025644,468.4666666666666,233973.6,20.10605128205128,75.20605128205128,335.90636363636355,2.055948717948718,7.702666666666667,31.512,0.0,22.303187148217635,6591.333333333334,213044.6,25.11250877192981,78.29574912280704,438.9445454545454,1.8157883040935672,6.82,32.7,0.0,28.12591885404569,459.2,384514.2,25.40547126436782,76.07393103448277,491.154329004329,2.042206896551724,8.026666666666667,31.99866666666667,0.0,28.76937931034483,90.50632911392404,90.50632911392404,81.67599805258034,78.78164556962025,81.00174596246184,1
208,208,208,2000-12-28,건고추,5720,-0.0079999999999999,-4.538666666666666,4.835999999999999,39.56,62.42933333333333,5.306666666666667,2.041333333333333,7.905,5.792,1.046153846153846,2000,12,28,0,0,2173915,3284495,63.2,90.50632911392404,0.0,2737079.166666667,2.67824,60.53701333333331,198.35590909090905,2.1212266666666664,8.428,14.76,-8.628,2.9594871794871795,210.7,60444.600000000006,10.189333333333334,66.15777777777778,26.540454545454548,1.5391111111111109,4.402666666666667,17.278666666666666,0.0,11.31880341880342,1966.5333333333333,582514.8666666667,15.132088888888893,69.77124444444445,344.58909090909094,1.7792444444444446,7.168,25.898666666666667,0.0,17.10024786324787,234.2333333333333,236361.03333333333,19.73051282051282,74.94630769230768,323.95409090909084,2.0527692307692305,7.702666666666667,31.404000000000003,0.0,21.886444652908065,6809.166666666666,208450.3,25.15877543859648,78.10152690058482,448.0422727272727,1.8042771929824568,6.82,32.7,0.0,28.160934572202866,475.6,330295.5,25.45567816091954,76.02114942528735,486.8218181818183,2.0457931034482755,8.026666666666667,31.99866666666667,0.0,28.849425287356325,90.50632911392404,90.50632911392404,82.29065238558911,78.62869198312235,80.90353557398518,1
209,209,209,2000-12-29,건고추,5720,-1.1373333333333333,-7.1466666666666665,6.756,29.57333333333333,62.501333333333335,3.405333333333333,1.3906666666666667,9.587272727272728,7.311999999999999,0.1871794871794871,2000,12,29,0,0,2173915,3284495,63.2,90.50632911392404,0.0,2846562.333333333,2.574923076923077,60.60979487179485,206.26090909090905,2.118153846153846,8.428,14.76,-8.628,2.885897435897436,140.46666666666667,40296.4,9.695333333333334,64.99266666666668,22.003181818181822,1.444,4.022666666666667,17.278666666666666,0.0,11.026923076923078,2036.7666666666669,593480.4333333333,14.90377777777778,69.67106666666668,336.2036363636364,1.7792,7.168,25.898666666666667,0.0,16.81666666666667,0.0,238748.46666666667,19.398153846153846,74.9565641025641,318.875909090909,2.017435897435897,7.702666666666667,30.328,0.0,21.558592870544093,7027.0,203856.0,25.260642105263152,77.93237134502925,449.550909090909,1.813388304093567,6.82,32.7,0.0,28.231850561362755,475.6,330295.5,25.42914942528736,75.91466666666668,489.0677272727274,2.0725517241379303,8.026666666666667,31.99866666666667,0.0,28.865931034482763,90.50632911392404,90.50632911392404,82.90530671859787,78.47573839662446,80.80532518550854,1
210,210,210,2000-12-30,건고추,5720,2.568,-3.4786666666666664,9.274666666666668,28.14666666666667,57.38666666666666,4.790666666666667,1.6106666666666667,7.839545454545455,5.176,1.969230769230769,2000,12,30,0,0,2173915,3284495,63.2,90.50632911392404,0.0,2956045.5,2.4374320987654325,60.67985185185184,215.84818181818176,2.0912098765432097,8.428,14.76,-8.628,2.785944919278253,70.23333333333333,20148.2,10.189333333333334,67.23733333333334,8.163181818181819,1.372,3.5226666666666664,16.850666666666665,0.0,10.87948717948718,2107.0,604446.0,14.589333333333334,69.21524444444444,338.5518181818182,1.7893777777777775,7.168,25.898666666666667,0.0,16.49324786324787,0.0,247931.1,19.36987654320988,75.01086419753086,330.3677272727272,1.9875555555555555,7.702666666666667,30.328,0.0,21.533345841150723,6792.766666666666,197060.8,25.29531034482758,78.0416091954023,428.0881818181818,1.8284597701149423,6.82,32.7,0.0,28.225231286795623,693.4333333333333,325701.2,25.36898608590441,75.90659104658197,489.6059090909091,2.0673672111312764,8.026666666666667,31.99866666666667,0.0,28.838568144499177,90.50632911392404,90.50632911392404,83.18682606657292,78.45373199476211,80.70711479703188,1
211,211,211,2000-12-01,건고추,5720,5.952,0.9506666666666668,13.458666666666666,42.70666666666666,73.004,3.968,1.5679999999999998,9.577727272727271,6.836,6.084615384615385,2000,12,1,0,0,2173915,3284495,63.2,90.50632911392404,0.0,0.0,2.4374320987654325,60.67985185185184,0.0,2.0912098765432097,0.0,0.0,0.0,2.785944919278253,2107.0,604446.0,14.304311111111112,68.89960000000002,332.59409090909094,1.7892,7.168,25.898666666666667,0.0,16.145897435897442,70.23333333333333,268079.3,19.347380952380952,75.07142857142857,344.4886363636363,1.9657619047619048,7.702666666666667,30.328,0.0,21.525012061109624,6558.533333333334,190265.6,25.315857142857137,78.17952380952383,409.2245454545454,1.8319047619047617,6.82,32.7,0.0,28.206620209059228,911.2666666666668,321106.9,25.318411373260737,75.8990048396854,486.5495454545455,2.0797810042347247,8.026666666666667,31.99866666666667,0.0,28.782418999559454,49.2,1805589.9,21.92497777777778,71.88604444444445,514.8407575757576,1.8368888888888888,6.488,31.793333333333333,0.0,25.57471111111112,90.50632911392404,83.4482368896926,78.14760397830017,80.88171104321258,80.90717299578061,1
212,212,212,2000-12-02,건고추,5720,6.838666666666667,0.8453333333333333,14.268,34.64,66.29333333333334,3.94,1.492,8.35,5.741333333333333,6.3769230769230765,2000,12,2,0,0,2173915,3284495,63.2,90.50632911392404,0.0,109483.16666666669,5.952,73.004,9.577727272727271,1.5679999999999998,3.968,13.458666666666666,0.0,6.084615384615385,2036.7666666666669,584297.8,14.21751724137931,68.33935632183909,328.39000000000004,1.79848275862069,7.168,25.898666666666667,0.0,16.06436781609196,140.46666666666667,279044.8666666667,19.031714285714283,75.36861904761905,332.8127272727272,1.9557619047619048,7.702666666666667,28.108,0.0,21.18600336147592,6324.3,192653.03333333333,25.35633333333333,78.16180952380954,411.5063636363636,1.819952380952381,6.82,32.7,0.0,28.21385235191637,1129.1,316512.6,25.279790683605565,75.9790508166969,479.2363636363637,2.10405686630369,8.026666666666667,31.99866666666667,0.0,28.6867868156514,65.6,1751371.2,22.06551111111111,72.48902222222223,511.4648484848485,1.8254666666666663,6.488,31.98133333333333,0.0,25.718399999999995,90.50632911392404,83.8607594936709,77.94416817359854,80.97446529899608,80.99156118143462,1
213,213,213,2000-12-03,건고추,5720,5.594666666666667,-0.4013333333333333,10.678666666666668,24.293333333333333,52.61333333333334,6.404,2.6813333333333333,9.665454545454544,7.089333333333334,5.8769230769230765,2000,12,3,0,0,2173915,3284495,63.2,90.50632911392404,0.0,218966.3333333333,6.395333333333333,69.64866666666667,17.92772727272727,1.5299999999999998,3.968,14.268,0.0,6.230769230769231,1966.5333333333333,564149.6,14.13,68.27128571428572,311.18181818181824,1.7936190476190472,7.168,25.898666666666667,0.0,15.954578754578758,210.7,290010.43333333335,18.798619047619045,74.9185238095238,339.730909090909,1.976809523809524,7.702666666666667,28.108,0.0,20.938683608058607,6090.066666666667,195040.46666666667,25.34261904761904,78.09909523809526,413.3340909090909,1.785,6.82,32.7,0.0,28.24146559233449,1346.9333333333334,311918.3,25.23008953418028,76.29652208106472,466.545,2.128792498487598,8.026666666666667,31.99866666666667,0.0,28.532289478953896,82.0,1697152.5,22.17448888888889,73.23831111111113,506.199393939394,1.8137333333333328,6.488,31.98133333333333,0.0,25.81315555555556,90.50632911392404,84.27328209764919,77.74073236889691,81.0672195547796,81.07594936708863,1
214,214,214,2000-12-04,건고추,5720,2.290666666666666,-3.9226666666666654,9.553333333333333,21.72,52.27466666666667,5.317333333333334,2.04,11.255454545454546,8.134666666666668,2.882051282051282,2000,12,4,0,0,2173915,3284495,63.2,90.50632911392404,0.0,328449.5,6.128444444444445,63.97022222222223,27.59318181818181,1.9137777777777776,6.404,14.268,-0.4013333333333333,6.112820512820512,1896.3,544001.4,14.07259259259259,68.23437037037039,295.8131818181819,1.807407407407408,7.168,25.898666666666667,0.0,15.87977207977208,280.93333333333334,300976.0,18.549857142857142,74.81661904761904,336.5854545454545,1.9561428571428567,7.702666666666667,27.896,0.0,20.652576219512195,5855.833333333334,197427.9,25.241666666666664,77.80357142857144,416.3781818181818,1.8081428571428568,6.82,32.7,0.0,28.18031576655052,1564.7666666666664,307324.0,25.229215970961885,76.47716575922566,459.4200000000001,2.117436176648517,8.026666666666667,31.99866666666667,0.0,28.41680307581401,98.4,1642933.8,22.27911111111111,74.12857777777778,501.8425757575758,1.7893777777777775,6.134666666666667,31.98133333333333,0.0,25.927066666666665,90.50632911392404,84.68580470162749,77.5514240506329,81.14633347883024,81.13924050632913,1
215,215,215,2000-12-05,건고추,5720,4.261333333333334,-0.976,9.524,30.52,53.53733333333333,7.853333333333333,3.333333333333333,9.792272727272728,7.323999999999999,4.028205128205128,2000,12,5,0,0,2173915,3284495,63.2,90.50632911392404,0.0,437932.6666666667,5.1690000000000005,61.04633333333334,38.84863636363636,1.9453333333333327,6.404,14.268,-3.9226666666666654,5.305128205128205,1826.0666666666668,523853.2,13.954256410256408,68.07964102564104,281.19590909090914,1.827897435897436,7.168,25.898666666666667,0.0,15.738856015779096,351.16666666666663,311941.56666666665,18.384619047619047,74.84442857142858,330.8309090909092,1.9424761904761905,7.702666666666667,26.610666666666667,0.0,20.4340981528634,5621.6,199815.3333333333,25.11880952380952,77.46228571428573,424.3390909090909,1.819904761904762,6.82,32.7,0.0,28.10775479094076,1782.6,302729.7,25.268986085904416,76.65417725347852,455.9718181818183,2.097574107683,8.026666666666667,31.99866666666667,0.0,28.39861972846329,114.8,1588715.1,22.34724444444445,74.9456888888889,494.4003030303031,1.7803111111111112,6.134666666666667,31.98133333333333,0.0,25.964088888888888,90.50632911392404,85.09832730560579,77.36211573236889,81.22544740288085,81.20253164556965,1
