,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
55690,20180304,2018,3,4,¸¶´Ã,9.958,6758.35,6758.35,9743.0,9385.0
55697,20180305,2018,3,5,¸¶´Ã,9.958,6758.35,6758.35,9743.0,9385.0
55704,20180306,2018,3,6,¸¶´Ã,9.958,6758.35,6758.35,9385.0,9342.0
55709,20180502,2018,5,2,¸¶´Ã,4.849,6833.35,6833.35,9900.0,9880.0
55716,20180503,2018,5,3,¸¶´Ã,4.849,6833.35,6833.35,9880.0,9914.0
55723,20180504,2018,5,4,¸¶´Ã,4.849,6833.35,6833.35,9914.0,9921.0
55730,20180505,2018,5,5,¸¶´Ã,4.849,6833.35,6833.35,9921.0,9904.0
55736,20180627,2018,6,27,¸¶´Ã,17.806,6583.35,6583.35,9744.0,9744.0
55743,20180628,2018,6,28,¸¶´Ã,17.806,6583.35,6583.35,9744.0,9696.0
55750,20180629,2018,6,29,¸¶´Ã,17.967,6591.65,6583.35,9696.0,9640.0
55757,20180630,2018,6,30,¸¶´Ã,17.967,6591.65,6591.65,9640.0,9659.0
55764,20180106,2018,1,6,¸¶´Ã,8.054,6440.0,6440.0,9694.0,9694.0
55771,20180107,2018,1,7,¸¶´Ã,8.054,6440.0,6440.0,9694.0,9694.0
55778,20180108,2018,1,8,¸¶´Ã,8.054,6440.0,6440.0,9694.0,9694.0
55785,20180109,2018,1,9,¸¶´Ã,10.403,6580.0,6440.0,9694.0,9705.0
55789,20180307,2018,3,7,¸¶´Ã,9.958,6758.35,6758.35,9342.0,9342.0
55796,20180308,2018,3,8,¸¶´Ã,9.958,6758.35,6758.35,9342.0,9335.0
55803,20180309,2018,3,9,¸¶´Ã,9.958,6758.35,6758.35,9335.0,9601.0
55810,20180310,2018,3,10,¸¶´Ã,9.958,6758.35,6758.35,9601.0,9561.0
55816,20180506,2018,5,6,¸¶´Ã,4.849,6833.35,6833.35,9921.0,9904.0
55823,20180507,2018,5,7,¸¶´Ã,4.849,6833.35,6833.35,9921.0,9904.0
