,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러)
7683,2020-09-17,무,3889,20.41263157894737,17.851578947368424,23.47684210526316,66.38947368421053,87.98421052631579,2.943157894736842,1.0863157894736843,6.218409090909091,0.3589473684210526,22.001052631578947,2020,9,17,16712.5,40597,19300.0,12103
7684,2020-09-18,무,3889,19.34042553191489,15.284210526315787,24.22421052631579,47.76842105263158,77.40842105263158,4.295789473684211,1.5968421052631578,14.050454545454546,5.0,21.67234042553192,2020,9,18,16712.5,40597,19300.0,12103
7685,2020-09-19,무,3889,18.894736842105264,13.52842105263158,25.397894736842108,41.29473684210527,74.97157894736843,4.286170212765957,1.5436170212765956,17.914545454545454,8.135789473684211,21.05263157894737,2020,9,19,16712.5,40597,19300.0,12103
7686,2020-09-20,무,3889,18.15052631578948,12.694736842105264,24.88631578947368,34.61052631578947,69.99157894736842,4.527659574468085,1.620212765957447,20.804772727272727,10.289473684210526,21.33368421052632,2020,9,20,16712.5,40597,19300.0,12103
7687,2020-09-21,무,3851,17.18421052631579,11.48,23.726315789473684,39.0,72.73684210526316,3.330851063829788,1.2670212765957447,18.277954545454545,9.482105263157894,20.838947368421053,2020,9,21,16712.5,40597,19300.0,12103
7688,2020-09-22,무,3903,17.685263157894735,13.624210526315789,23.182105263157897,49.50526315789474,73.48421052631579,4.277659574468085,1.8159574468085105,14.775,5.901052631578947,20.664210526315788,2020,9,22,16712.5,40597,19300.0,12103
7689,2020-09-23,무,3851,18.148421052631576,13.766315789473683,22.565263157894734,57.28421052631579,74.45473684210526,4.347368421052631,2.062105263157895,10.743863636363637,2.577894736842105,19.98842105263158,2020,9,23,16712.5,40597,19300.0,12103
7690,2020-09-24,무,3818,19.31578947368421,15.68842105263158,24.18421052631579,55.97894736842105,74.8378947368421,4.529473684210527,2.1894736842105265,13.933636363636364,5.071578947368421,21.706315789473685,2020,9,24,16712.5,40597,19300.0,12103
7691,2020-09-25,무,3818,19.23617021276596,14.682105263157894,24.48315789473684,55.42105263157895,76.22947368421053,4.758947368421053,2.0694736842105264,14.387045454545454,6.010526315789473,21.631914893617022,2020,9,25,16712.5,40597,19300.0,12103
7692,2020-09-26,무,3818,18.64315789473684,14.605263157894736,24.089473684210525,50.50526315789474,74.35894736842106,4.281052631578947,1.864210526315789,16.14727272727273,7.169473684210526,21.44421052631579,2020,9,26,16712.5,40597,19300.0,12103
7693,2020-09-27,무,3818,18.37894736842105,13.561052631578947,24.32421052631579,47.578947368421055,75.4557894736842,3.869473684210527,1.6105263157894736,17.86340909090909,9.048421052631578,22.153684210526315,2020,9,27,16712.5,40597,19300.0,12103
7694,2020-09-28,무,3833,17.490526315789474,12.397894736842105,24.38842105263158,43.36842105263158,76.87263157894736,3.413684210526316,1.2821052631578946,18.85659090909091,9.865263157894738,21.59157894736842,2020,9,28,16712.5,40597,19300.0,12103
7695,2020-09-29,무,3870,17.48842105263158,11.932631578947367,24.341052631578947,43.34736842105263,77.32842105263158,3.3389473684210524,1.2231578947368422,16.333863636363635,7.567368421052631,20.96736842105264,2020,9,29,16712.5,40597,19300.0,12103
7696,2020-09-30,무,3870,18.129473684210527,13.513684210526316,24.14736842105264,49.76842105263158,78.37578947368421,3.788421052631578,1.4578947368421054,16.1325,7.787368421052631,21.56,2020,9,30,16712.5,40597,19300.0,12103
7697,2020-09-01,무,3454,25.405263157894737,21.87473684210526,29.540000000000003,65.67368421052632,82.35894736842106,3.472631578947368,1.588421052631579,14.545227272727272,4.095789473684211,27.98421052631579,2020,9,1,16712.5,40597,19300.0,12103
7698,2020-09-02,무,3409,24.49052631578948,23.03578947368421,26.52842105263157,82.49473684210527,92.9157894736842,7.663157894736842,2.8789473684210525,4.115681818181819,0.0263157894736842,25.377894736842105,2020,9,2,16712.5,40597,19300.0,12103
7699,2020-09-03,무,3382,23.743157894736843,20.30842105263158,27.317894736842103,57.42105263157895,77.99789473684211,10.82736842105263,4.577894736842105,17.665681818181817,6.333684210526316,25.10842105263158,2020,9,3,16712.5,40597,19300.0,12103
7700,2020-09-04,무,3510,22.617894736842103,17.94,28.15157894736842,45.85263157894737,74.57978723404256,4.288421052631579,1.7663157894736845,21.83636363636364,9.837234042553192,25.39263157894737,2020,9,4,16712.5,40597,19300.0,12103
7701,2020-10-30,무,2545,10.746315789473684,4.272631578947368,18.38105263157895,33.463157894736845,64.84947368421052,3.751578947368421,1.456842105263158,13.85068181818182,8.729473684210525,12.577894736842106,2020,10,30,28207.5,68132,192400.0,52355
7702,2020-10-31,무,2545,11.62,5.170526315789473,18.47157894736842,40.33684210526316,69.5378947368421,3.5884210526315785,1.3273684210526318,13.03431818181818,7.833684210526316,13.12,2020,10,31,28207.5,68132,192400.0,52355
7703,2020-10-01,무,3870,18.29578947368421,13.906315789473684,23.85052631578948,55.28421052631579,79.70526315789473,3.6705263157894734,1.3178947368421052,15.464090909090908,6.974736842105264,22.04315789473684,2020,10,1,28207.5,68132,192400.0,52355
7704,2020-10-02,무,3870,19.34842105263158,14.66842105263158,24.571578947368423,52.34736842105263,78.79263157894736,3.9084210526315792,1.436842105263158,15.06159090909091,6.945263157894736,22.45684210526316,2020,10,2,28207.5,68132,192400.0,52355
7705,2020-10-03,무,3870,19.512631578947367,16.694736842105264,24.15684210526316,57.578947368421055,82.62315789473683,3.0631578947368423,1.0326315789473683,12.157727272727271,3.74,22.289473684210527,2020,10,3,28207.5,68132,192400.0,52355
7706,2020-10-04,무,3870,18.186315789473685,14.038947368421054,22.306315789473683,51.71578947368421,75.85052631578948,5.624210526315789,1.8452631578947367,8.383636363636363,1.821052631578948,20.234736842105264,2020,10,4,28207.5,68132,192400.0,52355
7707,2020-10-05,무,3944,14.125263157894738,8.890526315789474,19.54842105263158,36.1578947368421,58.00947368421052,5.875789473684211,2.6221052631578945,18.73590909090909,9.969473684210527,18.061052631578946,2020,10,5,28207.5,68132,192400.0,52355
7708,2020-10-06,무,3929,13.909473684210528,8.292631578947368,20.33052631578948,33.11578947368421,65.34315789473685,3.982105263157895,1.6578947368421053,19.154418604651163,9.993617021276595,18.41578947368421,2020,10,6,28207.5,68132,192400.0,52355
7709,2020-10-07,무,3913,15.75684210526316,10.206315789473685,21.67578947368421,38.03157894736842,66.3378947368421,4.2515789473684205,1.853684210526316,16.325454545454544,7.73578947368421,19.226315789473684,2020,10,7,28207.5,68132,192400.0,52355
7710,2020-10-08,무,3872,16.485263157894735,11.866315789473685,22.00631578947368,39.1578947368421,62.47052631578947,5.725263157894736,2.847368421052632,17.93659090909091,9.434736842105265,19.41578947368421,2020,10,8,28207.5,68132,192400.0,52355
7711,2020-10-09,무,3872,16.685263157894735,11.553684210526315,22.094736842105263,42.61052631578947,62.56736842105263,5.463157894736842,2.6642105263157894,16.348181818181818,8.510526315789473,19.31052631578948,2020,10,9,28207.5,68132,192400.0,52355
7712,2020-10-10,무,3872,16.386315789473684,11.667368421052632,21.86842105263158,47.78947368421053,70.4178947368421,4.032631578947369,1.7157894736842103,14.01431818181818,6.827368421052632,19.64210526315789,2020,10,10,28207.5,68132,192400.0,52355
7713,2020-10-11,무,3872,15.997894736842104,11.22,21.429473684210524,52.49473684210526,76.97473684210527,3.309473684210526,1.1989473684210528,12.302499999999998,5.1557894736842105,18.82315789473684,2020,10,11,28207.5,68132,192400.0,52355
7714,2020-10-12,무,3635,16.298947368421054,11.98,22.497894736842103,44.71578947368421,76.1178947368421,4.402105263157894,1.5694736842105264,14.062727272727273,6.550526315789473,19.242105263157896,2020,10,12,28207.5,68132,192400.0,52355
7715,2020-10-13,무,3443,13.647368421052631,9.138947368421054,19.48842105263158,35.05263157894737,65.63157894736842,4.484210526315789,1.863157894736842,13.54681818181818,6.098947368421053,16.82,2020,10,13,28207.5,68132,192400.0,52355
7716,2020-10-14,무,3366,12.95578947368421,7.7484210526315795,19.652631578947368,34.126315789473686,64.24,4.342105263157895,1.5957894736842104,11.425681818181818,4.68404255319149,15.68842105263158,2020,10,14,28207.5,68132,192400.0,52355
7717,2020-10-15,무,3327,12.42736842105263,7.121052631578947,19.23052631578948,26.410526315789475,58.151578947368414,3.852631578947368,1.5389473684210526,15.401363636363635,7.654736842105263,16.312631578947368,2020,10,15,28207.5,68132,192400.0,52355
7718,2020-10-16,무,3196,11.848421052631576,7.150526315789473,16.647368421052633,48.61052631578947,73.7,2.797894736842105,1.0147368421052632,5.876363636363636,0.6021052631578948,13.846315789473683,2020,10,16,28207.5,68132,192400.0,52355
