,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러),인플레이션 반영가
4157,2017-01-16,배추,4108,-2.784210526315789,-8.321052631578947,4.391578947368421,25.231578947368423,52.88,4.339361702127659,1.7968085106382978,10.954285714285714,8.250526315789473,-1.574736842105263,2017,1,16,195334.0,168896,120.0,43,42.09016393442623
4158,2017-01-17,배추,4108,-1.443157894736842,-7.502105263157895,5.871578947368421,26.44210526315789,56.414736842105256,3.317894736842105,1.1578947368421053,8.516904761904762,6.354736842105264,-1.0494736842105263,2017,1,17,195334.0,168896,120.0,43,42.09016393442623
4159,2017-01-18,배추,4092,0.651578947368421,-4.207368421052632,5.990526315789474,39.87368421052632,61.21263157894737,4.388421052631578,1.6726315789473685,7.468095238095239,4.483157894736842,0.1726315789473684,2017,1,18,195334.0,168896,120.0,43,41.92622950819673
4160,2017-01-19,배추,4092,0.2957894736842105,-4.662105263157894,6.794736842105263,34.51578947368421,65.71368421052632,3.787368421052632,1.4147368421052633,8.933809523809524,7.014736842105263,0.6021052631578948,2017,1,19,195334.0,168896,120.0,43,41.92622950819673
4161,2016-10-01,배추,7719,19.10736842105264,16.367368421052632,22.44315789473684,74.36842105263158,89.5978947368421,2.713684210526316,1.0852631578947367,6.031904761904762,0.8436170212765958,20.78315789473684,2016,10,1,1690356.0,1063049,0.0,0,80.5741127348643
4162,2016-10-02,배추,7719,20.817894736842103,17.865263157894738,24.39263157894737,70.92631578947369,87.54736842105264,4.20842105263158,1.6894736842105262,7.793095238095238,1.2765957446808511,21.84947368421053,2016,10,2,1690356.0,1063049,0.0,0,80.5741127348643
4163,2016-10-03,배추,7719,22.527368421052632,18.94210526315789,26.883157894736843,69.11578947368422,88.30105263157895,4.521052631578947,1.7042105263157896,8.93,3.404255319148936,23.394736842105264,2016,10,3,1690356.0,1063049,0.0,0,80.5741127348643
4164,2016-10-04,배추,7304,21.29684210526316,16.79578947368421,27.081052631578945,52.37894736842105,78.02631578947368,5.402105263157895,2.333684210526316,13.82904761904762,6.872631578947368,22.426315789473684,2016,10,4,1690356.0,1063049,0.0,0,76.24217118997913
4165,2016-10-06,배추,6759,18.542105263157893,14.452631578947368,24.289473684210527,43.6,76.84842105263158,4.252631578947368,1.7726315789473686,16.294285714285714,9.062765957446809,20.72736842105263,2016,10,6,1690356.0,1063049,0.0,0,70.55323590814197
4166,2016-10-07,배추,6657,18.36526315789473,14.824210526315788,22.621052631578948,57.38947368421053,81.79473684210527,4.52,1.9557894736842107,7.872857142857144,2.765957446808511,19.51684210526316,2016,10,7,1690356.0,1063049,0.0,0,69.48851774530272
4167,2016-10-08,배추,6657,17.426315789473684,13.951578947368422,21.48631578947369,54.47368421052632,79.80526315789474,5.36421052631579,2.2578947368421054,7.314761904761904,2.88936170212766,18.797894736842103,2016,10,8,1690356.0,1063049,0.0,0,69.48851774530272
4168,2016-10-09,배추,6657,12.877894736842109,8.969473684210527,17.86315789473684,35.0,59.76947368421052,5.537894736842105,2.667368421052632,17.66142857142857,10.177659574468086,15.969473684210524,2016,10,9,1690356.0,1063049,0.0,0,69.48851774530272
4169,2016-10-10,배추,6470,13.381052631578948,8.583157894736841,19.229473684210525,42.91578947368421,70.29473684210527,3.595789473684211,1.4389473684210523,12.279285714285717,6.035106382978723,15.778947368421052,2016,10,10,1690356.0,1063049,0.0,0,67.5365344467641
4170,2016-10-11,배추,6047,14.456842105263158,10.402105263157896,20.38842105263158,45.72631578947368,76.64631578947368,3.2926315789473684,1.24,9.062380952380952,3.703191489361702,16.116842105263157,2016,10,11,1690356.0,1063049,0.0,0,63.121085594989566
4171,2016-10-12,배추,5738,15.04,10.81157894736842,21.183157894736844,36.48421052631579,71.00421052631579,3.977894736842105,1.5642105263157895,13.608571428571429,7.208510638297873,17.061052631578946,2016,10,12,1690356.0,1063049,0.0,0,59.89561586638831
4172,2016-10-13,배추,5340,14.554736842105264,10.74421052631579,20.133684210526315,41.23157894736842,73.39157894736842,2.8157894736842106,1.0810526315789477,9.197857142857142,3.7326315789473687,16.29578947368421,2016,10,13,1690356.0,1063049,0.0,0,55.741127348643005
4173,2016-10-14,배추,5107,15.314736842105264,9.497894736842104,23.15052631578948,40.05263157894737,75.12526315789474,3.023157894736842,1.191578947368421,14.352380952380951,8.993617021276595,17.130526315789474,2016,10,14,1690356.0,1063049,0.0,0,53.30897703549061
4174,2016-10-15,배추,5107,16.585263157894737,10.709473684210526,24.15052631578948,41.85263157894737,76.0221052631579,3.381052631578948,1.328421052631579,12.452142857142857,6.909574468085107,17.66526315789474,2016,10,15,1690356.0,1063049,0.0,0,53.30897703549061
4175,2016-10-16,배추,5107,16.025263157894738,13.715789473684213,18.634736842105266,72.16842105263157,89.93684210526315,3.2031578947368424,1.2084210526315788,3.074523809523809,0.1414893617021276,16.577894736842108,2016,10,16,1690356.0,1063049,0.0,0,53.30897703549061
4176,2016-10-17,배추,4753,17.767368421052634,14.025263157894738,23.24526315789474,59.82105263157895,84.83368421052631,3.832631578947369,1.411578947368421,11.263333333333334,5.708510638297873,19.338947368421053,2016,10,17,1690356.0,1063049,0.0,0,49.61377870563675
4177,2016-10-18,배추,4685,16.37473684210526,12.167368421052632,22.385263157894737,54.89473684210526,83.1778947368421,3.414736842105263,1.3147368421052632,10.566190476190476,5.2042553191489365,17.989473684210527,2016,10,18,1690356.0,1063049,0.0,0,48.90396659707724
4178,2016-10-19,배추,4481,16.770526315789475,12.673684210526316,23.234736842105264,51.62105263157895,82.22421052631579,3.305263157894737,1.1505263157894736,12.047857142857143,6.737234042553191,18.281052631578948,2016,10,19,1690356.0,1063049,0.0,0,46.774530271398746
4179,2016-10-20,배추,4241,16.70212765957447,11.657894736842104,22.544210526315787,49.37894736842105,78.06808510638298,4.428421052631579,1.677894736842105,8.476904761904763,3.9627659574468086,17.31578947368421,2016,10,20,1690356.0,1063049,0.0,0,44.26931106471817
4180,2016-10-21,배추,4179,16.444086021505377,14.697894736842104,18.687368421052632,63.82105263157895,76.21290322580646,4.33578947368421,2.236842105263158,4.419047619047619,0.4180851063829787,16.81578947368421,2016,10,21,1690356.0,1063049,0.0,0,43.62212943632568
4181,2016-10-22,배추,4179,16.753684210526316,13.523157894736842,20.95894736842105,56.810526315789474,77.42947368421054,3.829473684210527,1.5663157894736843,8.742142857142857,3.387234042553191,17.9,2016,10,22,1690356.0,1063049,0.0,0,43.62212943632568
4182,2016-10-23,배추,4179,14.435789473684212,11.550526315789472,17.77263157894737,60.83157894736842,76.4178947368421,5.267368421052631,2.6694736842105264,4.155952380952381,0.4223404255319149,15.433684210526316,2016,10,23,1690356.0,1063049,0.0,0,43.62212943632568
4183,2016-10-24,배추,4011,14.164210526315788,9.765263157894738,19.34315789473684,48.305263157894736,71.57578947368421,3.9621052631578944,1.8368421052631576,11.922380952380951,6.574468085106383,15.933684210526316,2016,10,24,1690356.0,1063049,0.0,0,41.86847599164927
4184,2016-10-25,배추,3911,14.696842105263158,11.445263157894736,19.129473684210527,67.16842105263157,87.04736842105264,5.393684210526316,2.045263157894737,5.2457142857142856,2.3157894736842106,15.548421052631578,2016,10,25,1690356.0,1063049,0.0,0,40.82463465553236
4185,2016-10-26,배추,3792,13.913684210526316,10.112631578947369,18.49368421052632,56.42105263157895,81.69368421052631,3.6757894736842105,1.4200000000000002,7.832619047619048,2.9368421052631577,14.729473684210523,2016,10,26,1690356.0,1063049,0.0,0,39.58246346555324
4186,2016-10-27,배추,3723,14.557894736842105,9.35578947368421,19.205263157894738,55.642105263157895,76.48210526315789,4.204210526315789,1.82,6.958809523809523,2.2882978723404253,14.850526315789471,2016,10,27,1690356.0,1063049,0.0,0,38.86221294363257
4187,2016-10-28,배추,3592,14.061052631578947,12.097894736842104,16.61894736842105,63.47368421052632,84.09157894736842,5.029473684210527,2.1,3.2838095238095235,0.5136842105263157,14.77157894736842,2016,10,28,1690356.0,1063049,0.0,0,37.494780793319414
4188,2016-10-29,배추,3592,10.661052631578947,7.153684210526316,14.038947368421054,51.45263157894737,67.01684210526317,4.913684210526316,2.374736842105264,6.778095238095238,1.5,12.167368421052632,2016,10,29,1690356.0,1063049,0.0,0,37.494780793319414
4189,2016-10-30,배추,3592,8.272631578947369,3.3621052631578947,15.1,21.14736842105264,57.229473684210525,4.273684210526316,1.7494736842105263,13.77142857142857,8.608421052631579,10.226315789473684,2016,10,30,1690356.0,1063049,0.0,0,37.494780793319414
4190,2016-10-31,배추,3552,8.5,4.57578947368421,11.867368421052632,47.189473684210526,69.10105263157895,4.894736842105263,1.6873684210526316,2.8023809523809526,0.1505263157894737,9.449473684210528,2016,10,31,1690356.0,1063049,0.0,0,37.07724425887265
4191,2016-12-01,배추,3927,6.632631578947369,1.0768421052631578,10.854736842105265,26.51578947368421,56.45263157894737,7.03578947368421,3.2,8.396666666666667,6.739999999999999,5.708421052631579,2016,12,1,886941.3,620282,31500.0,21077,40.99164926931107
4192,2016-12-02,배추,3927,3.2378947368421054,-2.34,10.173684210526316,25.45263157894737,53.74526315789474,4.67578947368421,1.9852631578947368,11.173333333333332,8.641052631578948,2.831578947368421,2016,12,2,886941.3,620282,31500.0,21077,40.99164926931107
4193,2016-12-03,배추,3927,4.24842105263158,-2.269473684210526,12.364210526315787,33.34736842105263,63.30947368421052,3.2178947368421054,1.1757894736842105,9.667142857142856,7.32842105263158,3.4263157894736844,2016,12,3,886941.3,620282,31500.0,21077,40.99164926931107
4194,2016-12-04,배추,3927,5.531578947368421,1.3126315789473684,10.48315789473684,46.72631578947368,70.3778947368421,3.494736842105264,1.2378947368421052,3.7545238095238096,0.6621052631578948,4.749473684210527,2016,12,4,886941.3,620282,31500.0,21077,40.99164926931107
4195,2016-12-05,배추,3951,7.9936842105263155,2.782105263157894,13.77157894736842,48.17894736842105,70.11263157894737,6.114736842105263,2.374736842105264,6.532380952380953,4.309473684210526,6.532631578947369,2016,12,5,886941.3,620282,31500.0,21077,41.242171189979125
4196,2016-12-06,배추,3959,2.022105263157895,-2.8115789473684205,7.0063157894736845,25.87368421052632,47.55684210526315,6.460000000000001,2.690526315789473,10.51047619047619,8.314736842105264,2.968421052631579,2016,12,6,886941.3,620282,31500.0,21077,41.32567849686848
4197,2016-12-07,배추,3978,1.845263157894737,-3.912631578947369,7.819999999999999,47.578947368421055,68.33052631578947,3.9494736842105262,1.5094736842105263,5.579761904761905,3.332631578947369,1.863157894736842,2016,12,7,886941.3,620282,31500.0,21077,41.52400835073069
4198,2016-12-08,배추,4057,3.653191489361702,-2.323157894736842,9.76842105263158,41.50526315789474,73.10957446808511,4.12421052631579,1.396842105263158,8.42904761904762,5.669473684210526,3.372631578947368,2016,12,8,886941.3,620282,31500.0,21077,42.348643006263046
4199,2016-12-09,배추,4111,4.774736842105264,-0.3336842105263158,9.16,37.78947368421053,61.96,6.113684210526316,2.8757894736842102,8.635238095238096,7.047368421052632,4.52,2016,12,9,886941.3,620282,31500.0,21077,42.91231732776618
4200,2016-12-10,배추,4111,1.006315789473684,-3.5747368421052634,7.239999999999999,23.957894736842107,52.532631578947374,4.483157894736842,1.946315789473684,10.38,8.330526315789474,1.556842105263158,2016,12,10,886941.3,620282,31500.0,21077,42.91231732776618
4201,2016-12-11,배추,4111,0.3747368421052631,-5.362105263157894,7.862105263157894,22.84210526315789,53.19894736842105,3.742105263157895,1.4378947368421051,10.71809523809524,8.375789473684211,0.7978947368421052,2016,12,11,886941.3,620282,31500.0,21077,42.91231732776618
4202,2016-12-12,배추,4044,4.142105263157895,-2.329473684210526,10.375789473684211,37.73684210526316,62.51157894736843,2.957894736842105,1.131578947368421,5.377142857142857,2.845263157894737,2.9568421052631577,2016,12,12,886941.3,620282,31500.0,21077,42.21294363256785
4203,2016-12-13,배추,4077,5.621052631578947,1.6273684210526316,10.06842105263158,50.34736842105263,71.28947368421052,4.552631578947368,1.8410526315789475,4.622142857142857,2.4526315789473685,4.617894736842105,2016,12,13,886941.3,620282,31500.0,21077,42.55741127348643
4204,2016-12-14,배추,4058,1.754736842105263,-0.9042105263157896,4.816842105263159,56.27368421052632,70.98631578947368,5.351578947368421,2.782105263157894,4.613809523809524,2.397894736842105,2.4,2016,12,14,886941.3,620282,31500.0,21077,42.35908141962422
