,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러),소비자물가총지수,인플레이션 반영가
4758,2015-05-26,마늘,7550,21.57872340425532,12.952127659574469,30.62978723404256,20.23404255319149,50.77446808510639,4.73936170212766,1.89,27.272105263157894,12.474193548387095,28.180851063829788,2015,5,26,0.0,0,1814170.0,1662161,94.9,79.55742887249735
4759,2015-05-27,마늘,7550,21.27872340425532,12.695744680851066,29.777659574468085,19.638297872340427,49.131914893617015,4.304255319148936,1.5499999999999998,26.732894736842105,11.798936170212764,28.177659574468084,2015,5,27,0.0,0,1814170.0,1662161,94.9,79.55742887249735
4760,2015-05-28,마늘,7550,21.47340425531915,15.191489361702128,29.04893617021277,25.8936170212766,53.15212765957447,4.725531914893617,1.7808510638297872,23.991052631578945,9.84468085106383,28.034042553191487,2015,5,28,0.0,0,1814170.0,1662161,94.9,79.55742887249735
4761,2015-05-29,마늘,7567,22.168085106382986,14.385106382978725,29.32127659574468,28.117021276595743,53.64574468085106,4.339361702127659,1.6255319148936171,24.84210526315789,10.891489361702128,29.137234042553192,2015,5,29,0.0,0,1814170.0,1662161,94.9,79.73656480505795
4762,2015-05-30,마늘,7567,18.817021276595742,15.639361702127658,22.57872340425532,53.93617021276596,77.89893617021276,4.20531914893617,1.6659574468085103,9.637631578947367,2.317021276595745,21.52340425531915,2015,5,30,0.0,0,1814170.0,1662161,94.9,79.73656480505795
4763,2015-05-31,마늘,7567,20.12978723404256,14.297872340425531,27.384042553191488,35.12765957446808,67.17553191489361,4.492553191489362,1.7680851063829786,25.981315789473683,10.986170212765956,26.472340425531915,2015,5,31,0.0,0,1814170.0,1662161,94.9,79.73656480505795
4764,2015-05-01,마늘,7354,18.95957446808511,12.659574468085106,26.04255319148936,44.255319148936174,72.43763440860215,4.232978723404255,1.5755319148936169,22.877894736842105,10.536170212765958,22.674468085106383,2015,5,1,0.0,0,1814170.0,1662161,94.9,77.49209694415174
4765,2015-05-02,마늘,7354,19.495698924731183,13.309574468085106,25.6436170212766,46.234042553191486,72.01914893617021,4.8265957446808505,1.9595744680851064,18.75526315789474,7.379787234042554,22.325531914893617,2015,5,2,0.0,0,1814170.0,1662161,94.9,77.49209694415174
4766,2015-05-03,마늘,7354,17.41808510638298,15.57340425531915,20.0,75.8936170212766,91.29468085106384,4.687234042553191,1.90531914893617,5.025,0.2670212765957447,19.00531914893617,2015,5,3,0.0,0,1814170.0,1662161,94.9,77.49209694415174
4767,2015-05-04,마늘,7354,16.26808510638298,10.52340425531915,21.62234042553192,19.8936170212766,53.85425531914894,7.541489361702127,3.442553191489362,24.553421052631577,10.85212765957447,19.90851063829788,2015,5,4,0.0,0,1814170.0,1662161,94.9,77.49209694415174
4768,2015-05-05,마늘,7594,14.0,5.9053191489361705,21.62872340425532,19.4468085106383,46.13829787234042,5.3255319148936175,2.3095744680851062,27.77131578947368,12.469148936170212,19.115957446808512,2015,5,5,0.0,0,1814170.0,1662161,94.9,80.02107481559536
4769,2015-05-06,마늘,7594,14.71595744680851,7.5829787234042545,21.809574468085103,23.08510638297872,51.77234042553192,4.01063829787234,1.523404255319149,16.786052631578947,4.6734042553191495,17.391489361702128,2015,5,6,0.0,0,1814170.0,1662161,94.9,80.02107481559536
4770,2015-05-07,마늘,7612,16.15,8.568085106382979,23.909574468085108,20.829787234042552,50.1968085106383,5.222340425531915,1.8680851063829784,24.717894736842105,11.095744680851064,20.804255319148936,2015,5,7,0.0,0,1814170.0,1662161,94.9,80.21074815595362
4771,2015-05-08,마늘,7631,16.77978723404255,9.077659574468084,23.37127659574468,27.87234042553192,52.44468085106383,4.276595744680851,1.602127659574468,19.911052631578947,7.348936170212766,20.527659574468085,2015,5,8,0.0,0,1814170.0,1662161,94.9,80.41095890410958
4772,2015-05-09,마늘,7558,17.335106382978722,12.68191489361702,23.81914893617021,35.51063829787234,62.62553191489362,5.009574468085106,2.1617021276595745,22.16842105263158,8.753191489361702,22.809574468085103,2015,5,9,0.0,0,1814170.0,1662161,94.9,79.64172813487882
4773,2015-05-10,마늘,7558,16.48191489361702,10.86063829787234,23.320212765957447,38.77659574468085,65.91489361702128,4.787234042553192,1.998936170212766,23.184736842105263,9.935106382978724,22.688297872340424,2015,5,10,0.0,0,1814170.0,1662161,94.9,79.64172813487882
4774,2015-05-11,마늘,7558,16.597872340425532,11.67872340425532,21.57234042553192,45.11702127659574,73.87021276595745,7.386170212765957,3.2670212765957447,11.088947368421053,2.973404255319149,19.27978723404255,2015,5,11,0.0,0,1814170.0,1662161,94.9,79.64172813487882
4775,2015-07-18,마늘,8943,22.792473118279567,19.726881720430107,27.144086021505377,56.27956989247312,74.22688172043011,3.5946236559139786,1.553763440860215,15.687027027027026,3.797849462365592,27.052688172043013,2015,7,18,100.0,126,2053410.0,2076566,94.9,94.23603793466806
4776,2015-07-19,마늘,8943,23.872043010752687,19.98817204301076,28.61505376344086,59.096774193548384,79.08064516129032,3.793548387096774,1.5720430107526882,16.56918918918919,4.616129032258065,27.36989247311828,2015,7,19,100.0,126,2053410.0,2076566,94.9,94.23603793466806
4777,2015-07-20,마늘,8943,24.143010752688173,21.764516129032256,27.425806451612903,71.6989247311828,85.9247311827957,3.535483870967742,1.5956989247311828,9.251891891891892,1.0473118279569893,26.4,2015,7,20,100.0,126,2053410.0,2076566,94.9,94.23603793466806
4778,2015-07-21,마늘,8986,24.44838709677419,22.03333333333333,28.26021505376344,73.55913978494624,88.62043010752689,3.350537634408602,1.2731182795698923,10.71972972972973,1.6666666666666667,27.12043010752688,2015,7,21,100.0,126,2053410.0,2076566,94.9,94.68914646996838
4779,2015-07-22,마늘,9002,25.50537634408602,22.8247311827957,29.7,68.44086021505376,86.5731182795699,3.867741935483871,1.396774193548387,13.146486486486486,3.21505376344086,28.467741935483872,2015,7,22,100.0,126,2053410.0,2076566,94.9,94.85774499473129
4780,2015-07-23,마늘,9022,25.66451612903226,23.4989247311828,29.11505376344086,71.98924731182795,88.25698924731182,4.7924731182795695,2.1559139784946235,10.0,2.0064516129032257,27.44838709677419,2015,7,23,100.0,126,2053410.0,2076566,94.9,95.06849315068493
4781,2015-07-24,마늘,9261,25.307526881720428,23.94301075268817,27.201075268817203,81.45161290322581,89.84301075268817,5.160215053763441,2.7580645161290325,6.268378378378379,0.8096774193548387,26.1752688172043,2015,7,24,100.0,126,2053410.0,2076566,94.9,97.58693361433087
4782,2015-07-25,마늘,9261,26.134408602150536,23.62043010752688,29.37849462365591,67.45161290322581,82.2279569892473,5.750537634408602,2.895698924731183,14.431891891891892,4.684946236559139,27.90215053763441,2015,7,25,100.0,126,2053410.0,2076566,94.9,97.58693361433087
4783,2015-07-26,마늘,9261,26.84516129032258,22.246236559139785,32.19892473118279,52.55913978494624,76.57849462365591,4.194623655913979,1.7516129032258063,24.08567567567568,10.196774193548386,30.686021505376345,2015,7,26,100.0,126,2053410.0,2076566,94.9,97.58693361433087
4784,2015-07-27,마늘,9261,26.356989247311827,23.259139784946235,30.381720430107528,63.50537634408602,82.0752688172043,4.074193548387097,1.6419354838709677,15.1572972972973,4.71505376344086,29.602150537634408,2015,7,27,100.0,126,2053410.0,2076566,94.9,97.58693361433087
4785,2015-07-28,마늘,9338,27.11521739130435,23.880645161290325,31.70860215053764,59.053763440860216,80.06630434782609,4.383870967741935,1.6956989247311829,17.522162162162164,6.213978494623656,30.426881720430107,2015,7,28,100.0,126,2053410.0,2076566,94.9,98.39831401475236
4786,2015-07-29,마늘,9342,27.08817204301075,24.04408602150537,31.1752688172043,68.43010752688173,85.04193548387096,4.413978494623656,1.872043010752688,15.052162162162164,4.7239130434782615,29.566666666666663,2015,7,29,100.0,126,2053410.0,2076566,94.9,98.4404636459431
4787,2015-07-30,마늘,9361,28.301075268817204,24.56021505376344,33.21397849462366,57.516129032258064,79.27634408602151,4.525806451612903,2.1376344086021506,22.12027027027027,9.25,31.764516129032256,2015,7,30,100.0,126,2053410.0,2076566,94.9,98.64067439409905
4788,2015-07-31,마늘,9025,28.00860215053764,24.166666666666668,33.16881720430107,54.31182795698925,77.82688172043011,4.56236559139785,1.9720430107526885,22.74081081081081,9.685869565217391,32.24193548387097,2015,7,31,100.0,126,2053410.0,2076566,94.9,95.10010537407797
4789,2015-07-01,마늘,7648,22.25698924731183,18.1,27.520430107526884,47.02150537634409,74.07419354838709,5.696774193548387,2.5387096774193547,21.95777777777778,8.8752688172043,25.8483870967742,2015,7,1,100.0,126,2053410.0,2076566,94.9,80.59009483667018
4790,2015-07-02,마늘,7762,22.11720430107527,16.811827956989248,27.846236559139783,40.483870967741936,69.09032258064516,4.66989247311828,1.9473118279569888,22.99111111111111,9.92258064516129,26.34193548387097,2015,7,2,100.0,126,2053410.0,2076566,94.9,81.7913593256059
4791,2015-07-03,마늘,8066,22.0247311827957,17.408602150537636,27.647311827956987,38.096774193548384,69.14301075268817,4.654838709677419,1.7989247311827958,20.61297297297297,8.721505376344087,26.90322580645161,2015,7,3,100.0,126,2053410.0,2076566,94.9,84.99473129610115
4792,2015-07-04,마늘,8322,20.878494623655914,15.84731182795699,26.282795698924733,45.2258064516129,71.01075268817205,4.15268817204301,1.721505376344086,20.17621621621621,7.952688172043011,26.32150537634409,2015,7,4,100.0,126,2053410.0,2076566,94.9,87.6923076923077
4793,2015-07-05,마늘,8322,21.46666666666667,16.81505376344086,27.026881720430108,48.73118279569893,73.34946236559139,4.126881720430108,1.5526881720430108,21.57189189189189,8.770967741935484,27.38279569892473,2015,7,5,100.0,126,2053410.0,2076566,94.9,87.6923076923077
4794,2015-07-06,마늘,8322,21.759139784946235,17.543010752688172,26.701075268817203,51.924731182795696,74.41612903225806,3.739784946236559,1.496774193548387,16.95945945945946,5.858064516129032,26.636559139784943,2015,7,6,100.0,126,2053410.0,2076566,94.9,87.6923076923077
4795,2015-07-07,마늘,8388,19.85483870967742,17.51505376344086,22.80967741935484,64.76344086021506,83.19139784946236,4.194623655913979,1.7290322580645163,6.715405405405406,0.7655913978494624,22.4,2015,7,7,100.0,126,2053410.0,2076566,94.9,88.38777660695469
4796,2015-07-08,마늘,8482,20.94516129032258,18.40215053763441,23.552688172043013,79.61290322580645,89.88279569892474,3.9989247311827953,1.9344086021505376,6.962432432432433,0.333695652173913,22.71827956989248,2015,7,8,100.0,126,2053410.0,2076566,94.9,89.37829293993677
