,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러),소비자물가총지수,인플레이션 반영가
451,2000-06-20,건고추,5120,23.786666666666665,18.42533333333333,30.054666666666662,43.85333333333333,69.14800000000001,4.731999999999999,1.604,15.938636363636364,5.297333333333333,27.781333333333333,2000,6,20,0,0,1185036,1968246,63.2,81.01265822784809
452,2000-06-21,건고추,5120,23.80933333333333,19.63866666666667,29.53333333333333,46.82666666666667,69.23333333333333,5.174666666666667,1.82,20.455,7.64,29.57733333333333,2000,6,21,0,0,1185036,1968246,63.2,81.01265822784809
453,2000-06-22,건고추,5120,20.690666666666665,19.084,23.230666666666664,72.4,86.23733333333334,4.770666666666667,1.812,5.878636363636364,0.108,22.558666666666667,2000,6,22,0,0,1185036,1968246,63.2,81.01265822784809
454,2000-06-23,건고추,5160,21.23333333333333,19.2,24.345333333333336,70.84,83.89333333333333,4.429333333333333,1.661333333333333,8.617272727272727,0.684,23.368,2000,6,23,0,0,1185036,1968246,63.2,81.64556962025316
455,2000-06-24,건고추,5160,21.33333333333333,19.44533333333333,24.26533333333333,72.86666666666666,84.2,4.1946666666666665,1.6106666666666667,8.745454545454546,1.0786666666666669,23.536,2000,6,24,0,0,1185036,1968246,63.2,81.64556962025316
456,2000-06-25,건고추,5160,22.208,19.54533333333333,25.866666666666667,67.69333333333333,81.45333333333333,4.097333333333333,1.46,12.356363636363636,1.5693333333333337,24.726666666666667,2000,6,25,0,0,1185036,1968246,63.2,81.64556962025316
457,2000-06-26,건고추,5160,22.14133333333333,20.488,24.538666666666668,75.88,87.86666666666666,4.658666666666666,1.6466666666666667,5.245,0.1893333333333333,23.492,2000,6,26,0,0,1185036,1968246,63.2,81.64556962025316
458,2000-06-27,건고추,5160,21.85333333333333,20.134666666666664,23.82133333333333,79.0,87.77333333333333,6.134666666666667,2.2920000000000003,5.061904761904762,0.2853333333333333,22.78,2000,6,27,0,0,1185036,1968246,63.2,81.64556962025316
459,1999-11-01,건고추,5009,9.364,6.836,12.310666666666666,55.50666666666667,72.88266666666667,7.842666666666667,3.465333333333333,4.712727272727273,1.7640000000000002,10.350666666666664,1999,11,1,1004,8665,102276,177110,61.8,81.05177993527508
460,1999-11-02,건고추,5009,7.577333333333333,3.625333333333333,12.376,32.13333333333333,58.077333333333335,7.643999999999999,2.7453333333333334,12.252727272727272,7.766666666666667,8.685333333333332,1999,11,2,1004,8665,102276,177110,61.8,81.05177993527508
461,1999-11-03,건고추,5009,7.354666666666667,2.321333333333333,13.552,38.50666666666667,63.74666666666667,5.874666666666667,2.005333333333333,11.615,7.582666666666667,8.374666666666666,1999,11,3,1004,8665,102276,177110,61.8,81.05177993527508
462,1999-11-04,건고추,5009,8.2,1.9986666666666668,15.448,35.266666666666666,63.43866666666666,5.5280000000000005,1.838666666666667,12.509999999999998,8.266666666666667,8.753333333333334,1999,11,4,1004,8665,102276,177110,61.8,81.05177993527508
463,1999-11-05,건고추,5009,10.670666666666666,4.458666666666667,18.346666666666668,41.56,70.66533333333332,3.984,1.2986666666666666,10.551363636363636,6.76,10.596,1999,11,5,1004,8665,102276,177110,61.8,81.05177993527508
464,1999-11-06,건고추,5009,11.337333333333332,6.610666666666667,18.884,42.906666666666666,74.908,3.0773333333333337,1.032,9.956818181818182,6.296,11.957333333333333,1999,11,6,1004,8665,102276,177110,61.8,81.05177993527508
465,1999-11-07,건고추,5009,11.837333333333332,5.888,18.612,47.41333333333333,75.67066666666666,3.489333333333333,1.106666666666667,9.055454545454545,5.177333333333333,12.268,1999,11,7,1004,8665,102276,177110,61.8,81.05177993527508
466,1999-11-08,건고추,5009,12.56,8.393333333333333,18.11866666666667,44.77333333333333,72.05866666666667,5.938666666666666,2.010666666666667,9.256363636363636,6.1,12.942666666666668,1999,11,8,1004,8665,102276,177110,61.8,81.05177993527508
467,1999-11-09,건고추,5009,11.342666666666668,6.890666666666666,16.836000000000002,43.52,64.92533333333333,4.929333333333333,1.870666666666667,9.300454545454544,5.297333333333333,11.597333333333331,1999,11,9,1004,8665,102276,177110,61.8,81.05177993527508
468,1999-11-10,건고추,5009,10.521333333333333,5.204,17.42,40.36,66.57733333333334,4.0280000000000005,1.4826666666666668,10.122727272727271,6.943999999999999,11.161333333333332,1999,11,10,1004,8665,102276,177110,61.8,81.05177993527508
469,1999-11-11,건고추,5009,11.357333333333337,6.8933333333333335,15.04,59.8,79.34400000000001,4.257333333333333,1.5146666666666666,2.8645454545454543,0.1159999999999999,10.896,1999,11,11,1004,8665,102276,177110,61.8,81.05177993527508
470,1999-11-12,건고추,5009,12.424,8.245333333333333,16.512,47.41333333333333,72.40666666666667,6.952,2.7666666666666666,8.356818181818182,5.217333333333333,12.892,1999,11,12,1004,8665,102276,177110,61.8,81.05177993527508
471,1999-11-13,건고추,5009,9.677333333333332,4.825333333333333,17.385333333333335,29.85333333333333,66.65599999999999,4.548,1.5573333333333332,11.596363636363636,7.536,10.344,1999,11,13,1004,8665,102276,177110,61.8,81.05177993527508
472,1999-11-14,건고추,5009,10.64,3.5413333333333337,18.484,43.17333333333333,71.12,4.310666666666667,1.4826666666666668,10.446363636363635,7.048,10.617333333333333,1999,11,14,1004,8665,102276,177110,61.8,81.05177993527508
473,1999-11-15,건고추,5009,10.248,6.811999999999999,14.709333333333332,54.68,71.512,7.063999999999999,3.1013333333333333,5.848181818181818,3.1426666666666665,10.64,1999,11,15,1004,8665,102276,177110,61.8,81.05177993527508
474,1999-11-16,건고추,5009,7.046666666666667,2.790666666666666,11.546666666666669,41.76,63.970666666666666,5.993333333333333,2.7013333333333334,7.865909090909091,5.302666666666666,8.2,1999,11,16,1004,8665,102276,177110,61.8,81.05177993527508
475,1999-11-17,건고추,5009,5.26,0.4946666666666667,9.681333333333331,35.82666666666667,63.22933333333333,4.681333333333334,1.5679999999999998,5.969545454545455,2.453333333333333,5.618666666666666,1999,11,17,1004,8665,102276,177110,61.8,81.05177993527508
476,1999-11-18,건고추,4973,6.226666666666667,1.52,12.132,33.88,61.504000000000005,6.058666666666666,2.065333333333333,9.646363636363636,6.5,6.682666666666666,1999,11,18,1004,8665,102276,177110,61.8,80.46925566343043
477,1999-11-19,건고추,4973,5.958666666666667,-0.1106666666666667,13.574666666666667,37.06666666666667,65.424,3.802666666666666,1.3,8.739090909090908,5.908,6.093333333333334,1999,11,19,1004,8665,102276,177110,61.8,80.46925566343043
478,1999-11-20,건고추,4973,7.945333333333333,2.8506666666666667,14.817333333333332,45.626666666666665,70.56533333333333,4.617333333333334,1.5,7.277272727272727,5.030666666666667,7.690666666666666,1999,11,20,1004,8665,102276,177110,61.8,80.46925566343043
479,1999-11-21,건고추,4973,7.632,2.8040000000000003,15.106666666666667,37.84,69.892,4.1,1.34,9.676363636363636,6.602666666666667,7.78,1999,11,21,1004,8665,102276,177110,61.8,80.46925566343043
480,1999-11-22,건고추,4973,8.394666666666668,2.0573333333333337,16.269333333333336,38.02666666666666,67.87333333333333,3.36,1.2093333333333334,8.12,5.884,7.905333333333333,1999,11,22,1004,8665,102276,177110,61.8,80.46925566343043
481,1999-11-23,건고추,4973,9.756,3.845333333333333,19.04,33.68,66.74533333333333,3.3986666666666667,1.208,9.665454545454544,7.450666666666666,9.372,1999,11,23,1004,8665,102276,177110,61.8,80.46925566343043
482,1999-11-24,건고추,4973,10.577333333333332,3.397333333333333,18.74,35.64,68.06266666666666,4.8053333333333335,1.4066666666666667,8.631363636363638,6.394666666666667,9.890666666666666,1999,11,24,1004,8665,102276,177110,61.8,80.46925566343043
483,1999-11-26,건고추,4973,0.3653333333333333,-3.0373333333333337,3.714666666666667,34.16,51.57333333333333,8.152,3.6026666666666665,7.652272727272727,4.708,2.2426666666666666,1999,11,26,1004,8665,102276,177110,61.8,80.46925566343043
484,1999-11-27,건고추,4973,1.104,-3.0893333333333333,4.681333333333334,45.946666666666665,65.908,5.132,1.808,4.8977272727272725,1.8306666666666669,2.2013333333333334,1999,11,27,1004,8665,102276,177110,61.8,80.46925566343043
485,1999-11-28,건고추,4973,1.248,-1.8453333333333333,5.025333333333333,37.946666666666665,58.9,7.311999999999999,2.794666666666666,8.997272727272728,6.324,2.58,1999,11,28,1004,8665,102276,177110,61.8,80.46925566343043
486,1999-11-29,건고추,4973,1.972,-2.9066666666666667,7.005333333333333,43.28,64.28,5.341333333333334,1.8586666666666667,7.915909090909091,5.008,2.5826666666666664,1999,11,29,1004,8665,102276,177110,61.8,80.46925566343043
487,1999-11-30,건고추,4973,4.566666666666666,-0.24,10.714666666666666,36.973333333333336,63.44533333333333,5.569333333333333,1.788,8.738636363636363,6.241333333333333,4.449333333333334,1999,11,30,1004,8665,102276,177110,61.8,80.46925566343043
488,2000-02-01,건고추,4970,-4.384,-10.061333333333334,1.316,31.346666666666668,56.06533333333333,5.957333333333334,2.3240000000000003,7.365454545454545,6.064,-2.6413333333333333,2000,2,1,1310,10159,212934,360876,63.2,78.63924050632912
489,2000-02-03,건고추,4970,-0.8973333333333333,-5.56,4.206666666666667,39.28,61.22533333333333,6.773333333333333,2.433333333333333,6.475909090909091,5.466666666666667,-0.108,2000,2,3,1310,10159,212934,360876,63.2,78.63924050632912
490,2000-02-04,건고추,4970,-0.7773333333333333,-6.26,5.996,30.04,58.604,4.674666666666667,1.748,9.327272727272726,8.361333333333334,0.3146666666666666,2000,2,4,1310,10159,212934,360876,63.2,78.63924050632912
491,2000-02-05,건고추,4970,1.3373333333333333,-6.04,7.268000000000001,39.85333333333333,66.188,3.609333333333333,1.2653333333333334,4.720909090909091,2.7546666666666666,0.536,2000,2,5,1310,10159,212934,360876,63.2,78.63924050632912
492,2000-02-06,건고추,4970,2.388,-0.468,5.731999999999999,46.29333333333334,67.60533333333333,6.972,2.909333333333333,6.616363636363636,4.744,2.877333333333333,2000,2,6,1310,10159,212934,360876,63.2,78.63924050632912
493,2000-02-07,건고추,4970,0.6146666666666667,-3.0373333333333337,4.768000000000001,45.29333333333334,66.40799999999999,7.569333333333334,2.576,5.651363636363636,2.3186666666666667,1.276,2000,2,7,1310,10159,212934,360876,63.2,78.63924050632912
494,2000-02-09,건고추,4970,-3.3266666666666667,-8.494666666666667,2.3746666666666667,33.053333333333335,53.906666666666666,6.877333333333333,3.0346666666666664,12.602727272727272,8.177333333333333,-1.165333333333333,2000,2,9,1310,10159,212934,360876,63.2,78.63924050632912
495,2000-02-10,건고추,4970,-1.284,-7.945333333333333,5.6,31.226666666666667,55.57866666666666,5.406666666666666,2.052,13.526363636363635,8.54,-0.076,2000,2,10,1310,10159,212934,360876,63.2,78.63924050632912
496,2000-02-11,건고추,4970,1.5586666666666666,-3.2533333333333334,7.488,41.02666666666666,63.10533333333333,5.918666666666667,2.1173333333333333,11.357727272727272,7.04,2.18,2000,2,11,1310,10159,212934,360876,63.2,78.63924050632912
497,2000-02-12,건고추,4970,1.7426666666666666,-3.8933333333333335,8.630666666666666,39.12,64.33866666666667,5.46,2.038666666666667,11.966818181818182,7.26,2.192,2000,2,12,1310,10159,212934,360876,63.2,78.63924050632912
498,2000-02-13,건고추,4970,2.94,-3.5173333333333336,9.606666666666667,35.6,64.78533333333333,4.341333333333334,1.5066666666666666,10.840454545454548,6.126666666666667,3.068,2000,2,13,1310,10159,212934,360876,63.2,78.63924050632912
499,2000-02-16,건고추,4970,-2.7453333333333334,-7.176000000000001,1.8133333333333328,33.46666666666667,50.31333333333333,8.629333333333333,3.788,13.674090909090909,7.796,-0.7293333333333334,2000,2,16,1310,10159,212934,360876,63.2,78.63924050632912
500,2000-02-17,건고추,4970,-1.96,-7.0360000000000005,3.356,24.706666666666667,46.54,7.698666666666666,3.1853333333333333,15.632272727272726,9.125333333333334,0.0973333333333333,2000,2,17,1310,10159,212934,360876,63.2,78.63924050632912
501,2000-02-18,건고추,4970,-0.5653333333333334,-6.781333333333333,5.429333333333333,25.72,49.052,5.652,1.9826666666666664,14.297272727272729,8.242666666666667,0.9893333333333334,2000,2,18,1310,10159,212934,360876,63.2,78.63924050632912
502,2000-02-19,건고추,4970,2.670666666666667,-2.1693333333333333,8.448,27.813333333333333,50.08266666666666,4.704,1.7573333333333334,9.339545454545457,3.196,3.025333333333333,2000,2,19,1310,10159,212934,360876,63.2,78.63924050632912
503,2000-02-20,건고추,4970,1.6373333333333333,-2.592,6.876,30.186666666666667,51.97733333333333,7.723999999999999,3.401333333333333,14.105454545454544,8.168000000000001,3.110666666666667,2000,2,20,1310,10159,212934,360876,63.2,78.63924050632912
504,2000-02-21,건고추,4970,-0.2226666666666666,-5.025333333333333,5.073333333333333,22.946666666666665,44.412,7.870666666666666,3.489333333333333,16.369545454545456,9.556,1.7053333333333334,2000,2,21,1310,10159,212934,360876,63.2,78.63924050632912
505,2000-02-22,건고추,4970,-0.368,-5.569333333333333,5.68,21.73333333333333,46.468,5.576,2.1746666666666665,13.414545454545454,7.502666666666667,1.2333333333333334,2000,2,22,1310,10159,212934,360876,63.2,78.63924050632912
506,2000-02-23,건고추,4970,2.04,-3.657333333333333,8.086666666666666,27.73333333333333,49.77466666666667,7.084,2.436,11.731818181818182,5.953333333333333,2.6693333333333333,2000,2,23,1310,10159,212934,360876,63.2,78.63924050632912
